seq,region,event,priority,usefulness,stale_after,policy
83,A,0,0.25,0.275,30,B
84,A,0,0.25,0.275,30,B
85,A,0,0.25,0.275,30,B
86,A,0,0.25,0.275,30,B
87,A,0,0.25,0.275,30,B
88,A,0,0.25,0.275,30,B
89,A,0,0.25,0.275,30,B
90,A,0,0.25,0.275,30,B
91,A,0,0.25,0.275,30,B
92,A,0,0.25,0.275,30,B
93,A,0,0.25,0.275,30,B
94,A,0,0.25,0.275,30,B
95,A,0,0.25,0.275,30,B
96,A,0,0.25,0.275,30,B
97,A,0,0.25,0.275,30,B
98,A,0,0.25,0.275,30,B
99,A,0,0.25,0.275,30,B
100,A,0,0.25,0.275,30,B
101,A,0,0.25,0.275,30,B
102,A,0,0.25,0.275,30,B
103,A,0,0.25,0.275,30,B
104,A,0,0.25,0.275,30,B
105,A,0,0.25,0.275,30,B
106,A,0,0.25,0.275,30,B
107,A,0,0.25,0.275,30,B
108,A,0,0.25,0.275,30,B
109,A,0,0.25,0.275,30,B
110,A,0,0.25,0.275,30,B
111,A,0,0.25,0.275,30,B
112,A,0,0.25,0.275,30,B
113,A,0,0.25,0.275,30,B
114,A,0,0.25,0.275,30,B
115,A,0,0.25,0.275,30,B
116,A,0,0.25,0.275,30,B
117,A,0,0.25,0.275,30,B
118,A,0,0.25,0.275,30,B
119,A,0,0.25,0.275,30,B
120,A,0,0.25,0.275,30,B
121,A,0,0.25,0.275,30,B
122,A,0,0.25,0.275,30,B
123,A,0,0.25,0.275,30,B
124,A,0,0.25,0.275,30,B
125,A,0,0.25,0.275,30,B
126,A,0,0.25,0.275,30,B
127,A,0,0.25,0.275,30,B
128,A,0,0.25,0.275,30,B
129,A,0,0.25,0.275,30,B
130,A,0,0.25,0.275,30,B
131,A,0,0.25,0.275,30,B
132,A,0,0.25,0.275,30,B
133,A,0,0.25,0.275,30,B
134,A,0,0.25,0.275,30,B
135,A,0,0.25,0.275,30,B
136,A,0,0.25,0.275,30,B
137,A,0,0.25,0.275,30,B
138,A,0,0.25,0.275,30,B
139,A,0,0.25,0.275,30,B
140,A,0,0.25,0.275,30,B
141,A,0,0.25,0.275,30,B
142,A,0,0.25,0.275,30,B
143,A,0,0.25,0.275,30,B
144,A,0,0.25,0.275,30,B
145,A,0,0.25,0.275,30,B
146,A,0,0.25,0.275,30,B
147,A,0,0.25,0.275,30,B
148,A,0,0.25,0.275,30,B
149,A,0,0.25,0.275,30,B
150,A,0,0.25,0.275,30,B
151,A,0,0.25,0.275,30,B
152,A,0,0.25,0.275,30,B
153,A,0,0.25,0.275,30,B
154,A,0,0.25,0.275,30,B
155,A,0,0.25,0.275,30,B
156,A,0,0.25,0.275,30,B
157,A,0,0.25,0.275,30,B
158,A,0,0.25,0.275,30,B
159,A,0,0.25,0.275,30,B
160,A,0,0.25,0.275,30,B
161,A,0,0.25,0.275,30,B
162,A,0,0.25,0.275,30,B
163,A,0,0.25,0.275,30,B
164,A,0,0.25,0.275,30,B
165,A,0,0.25,0.275,30,B
166,A,0,0.25,0.275,30,B
167,A,0,0.25,0.275,30,B
168,A,0,0.25,0.275,30,B
169,A,0,0.25,0.275,30,B
170,A,0,0.25,0.275,30,B
171,A,0,0.25,0.275,30,B
172,A,0,0.25,0.275,30,B
173,A,0,0.25,0.275,30,B
174,A,0,0.25,0.275,30,B
175,A,0,0.25,0.275,30,B
176,A,0,0.25,0.275,30,B
177,A,0,0.25,0.275,30,B
178,A,0,0.25,0.275,30,B
179,A,0,0.25,0.275,30,B
180,A,0,0.25,0.275,30,B
181,A,0,0.25,0.275,30,B
182,A,0,0.25,0.275,30,B
183,A,0,0.25,0.275,30,B
184,A,0,0.25,0.275,30,B
185,A,0,0.25,0.275,30,B
186,A,0,0.25,0.275,30,B
187,A,0,0.25,0.275,30,B
188,A,0,0.25,0.275,30,B
189,A,0,0.25,0.275,30,B
190,A,0,0.25,0.275,30,B
191,A,0,0.25,0.275,30,B
192,A,0,0.25,0.275,30,B
193,A,0,0.25,0.275,30,B
194,A,0,0.25,0.275,30,B
195,A,0,0.25,0.275,30,B
196,A,0,0.25,0.275,30,B
197,A,0,0.25,0.275,30,B
198,A,0,0.25,0.275,30,B
199,A,0,0.25,0.275,30,B
200,A,0,0.25,0.275,30,B
201,A,0,0.25,0.275,30,B
202,A,0,0.25,0.275,30,B
203,A,0,0.25,0.275,30,B
204,A,0,0.25,0.275,30,B
205,A,0,0.25,0.275,30,B
206,A,0,0.25,0.275,30,B
207,A,0,0.25,0.275,30,B
208,A,0,0.25,0.275,30,B
209,A,0,0.25,0.275,30,B
210,A,0,0.25,0.275,30,B
211,A,0,0.25,0.275,30,B
212,A,0,0.25,0.275,30,B
213,A,0,0.25,0.275,30,B
214,A,0,0.25,0.275,30,B
215,A,0,0.25,0.275,30,B
216,A,0,0.25,0.275,30,B
217,A,0,0.25,0.275,30,B
218,A,0,0.25,0.275,30,B
219,A,0,0.25,0.275,30,B
220,A,0,0.25,0.275,30,B
221,A,0,0.25,0.275,30,B
222,A,0,0.25,0.275,30,B
223,A,0,0.25,0.275,30,B
224,A,0,0.25,0.275,30,B
225,A,0,0.25,0.275,30,B
226,A,0,0.25,0.275,30,B
227,A,0,0.25,0.275,30,B
228,A,0,0.25,0.275,30,B
229,A,0,0.25,0.275,30,B
230,A,0,0.25,0.275,30,B
231,A,0,0.25,0.275,30,B
232,A,0,0.25,0.275,30,B
233,A,0,0.25,0.275,30,B
234,A,0,0.25,0.275,30,B
235,A,0,0.25,0.275,30,B
236,A,0,0.25,0.275,30,B
237,A,0,0.25,0.275,30,B
238,A,0,0.25,0.275,30,B
239,A,0,0.25,0.275,30,B
240,A,0,0.25,0.275,30,B
241,A,0,0.25,0.275,30,B
242,A,0,0.25,0.275,30,B
243,A,0,0.25,0.275,30,B
244,A,0,0.25,0.275,30,B
245,A,0,0.25,0.275,30,B
246,A,0,0.25,0.275,30,B
247,A,0,0.25,0.275,30,B
248,A,0,0.25,0.275,30,B
249,A,0,0.25,0.275,30,B
