seq,region,event,priority,usefulness,stale_after,policy
121,A,0,0.250,0.300,30,F
122,A,0,0.250,0.300,30,F
123,A,0,0.250,0.300,30,F
124,A,0,0.250,0.300,30,F
125,A,0,0.250,0.300,30,F
126,A,0,0.250,0.300,30,F
127,A,0,0.250,0.300,30,F
128,A,0,0.250,0.300,30,F
129,A,0,0.250,0.300,30,F
130,A,0,0.250,0.300,30,F
131,A,0,0.250,0.300,30,F
132,A,0,0.250,0.300,30,F
133,A,0,0.250,0.300,30,F
134,A,0,0.250,0.300,30,F
135,A,0,0.250,0.300,30,F
136,A,0,0.250,0.300,30,F
137,A,0,0.250,0.300,30,F
138,A,0,0.250,0.300,30,F
139,A,0,0.250,0.300,30,F
140,A,0,0.250,0.300,30,F
141,A,0,0.250,0.300,30,F
142,A,0,0.250,0.300,30,F
143,A,0,0.250,0.300,30,F
144,A,0,0.250,0.300,30,F
145,A,0,0.250,0.300,30,F
146,A,0,0.250,0.300,30,F
147,A,0,0.250,0.300,30,F
148,A,0,0.250,0.300,30,F
149,A,0,0.250,0.300,30,F
150,A,0,0.900,0.900,30,F
151,A,0,0.900,0.900,30,F
152,A,0,0.900,0.900,30,F
153,A,0,0.900,0.900,30,F
154,A,0,0.900,0.900,30,F
155,A,0,0.900,0.900,30,F
156,A,0,0.900,0.900,30,F
157,A,0,0.900,0.900,30,F
158,A,0,0.900,0.900,30,F
159,A,0,0.900,0.900,30,F
160,A,0,0.900,0.900,30,F
161,A,0,0.900,0.900,30,F
162,A,0,0.900,0.900,30,F
163,A,0,0.900,0.900,30,F
164,A,0,0.900,0.900,30,F
165,A,0,0.900,0.900,30,F
166,A,0,0.900,0.900,30,F
167,A,0,0.900,0.900,30,F
168,A,0,0.900,0.900,30,F
169,A,0,0.900,0.900,30,F
170,A,0,0.900,0.900,30,F
171,A,0,0.900,0.900,30,F
172,A,0,0.900,0.900,30,F
173,A,0,0.900,0.900,30,F
174,A,0,0.900,0.900,30,F
175,A,0,0.900,0.900,30,F
176,A,0,0.900,0.900,30,F
177,A,0,0.900,0.900,30,F
178,A,0,0.900,0.900,30,F
179,A,0,0.900,0.900,30,F
180,A,0,0.900,0.900,30,F
181,A,0,0.900,0.900,30,F
182,A,0,0.900,0.900,30,F
183,A,0,0.900,0.900,30,F
184,A,0,0.900,0.900,30,F
185,A,0,0.900,0.900,30,F
186,A,0,0.900,0.900,30,F
187,A,0,0.900,0.900,30,F
188,A,0,0.900,0.900,30,F
189,A,0,0.900,0.900,30,F
190,A,0,0.900,0.900,30,F
191,A,0,0.900,0.900,30,F
192,A,0,0.900,0.900,30,F
193,A,0,0.900,0.900,30,F
194,A,0,0.900,0.900,30,F
195,A,0,0.900,0.900,30,F
196,A,0,0.900,0.900,30,F
197,A,0,0.900,0.900,30,F
198,A,0,0.900,0.900,30,F
199,A,0,0.900,0.900,30,F
200,A,0,0.250,0.200,30,F
201,A,0,0.250,0.200,30,F
202,A,0,0.250,0.200,30,F
203,A,0,0.250,0.200,30,F
204,A,0,0.250,0.200,30,F
205,A,0,0.250,0.200,30,F
206,A,0,0.250,0.200,30,F
207,A,0,0.250,0.200,30,F
208,A,0,0.250,0.200,30,F
209,A,0,0.250,0.200,30,F
210,A,0,0.250,0.200,30,F
211,A,0,0.250,0.200,30,F
212,A,0,0.250,0.200,30,F
213,A,0,0.250,0.200,30,F
214,A,0,0.250,0.200,30,F
215,A,0,0.250,0.200,30,F
216,A,0,0.250,0.200,30,F
217,A,0,0.250,0.200,30,F
218,A,0,0.250,0.200,30,F
219,A,0,0.250,0.200,30,F
220,A,0,0.250,0.200,30,F
221,A,0,0.250,0.200,30,F
222,A,0,0.250,0.200,30,F
223,A,0,0.250,0.200,30,F
224,A,0,0.250,0.200,30,F
225,A,0,0.250,0.200,30,F
226,A,0,0.250,0.200,30,F
227,A,0,0.250,0.200,30,F
228,A,0,0.250,0.200,30,F
229,A,0,0.250,0.200,30,F
230,A,0,0.250,0.200,30,F
231,A,0,0.250,0.200,30,F
232,A,0,0.250,0.200,30,F
233,A,0,0.250,0.200,30,F
234,A,0,0.250,0.200,30,F
235,A,0,0.250,0.200,30,F
236,A,0,0.250,0.200,30,F
237,A,0,0.250,0.200,30,F
238,A,0,0.250,0.200,30,F
239,A,0,0.250,0.200,30,F
240,A,0,0.250,0.200,30,F
241,A,0,0.250,0.200,30,F
242,A,0,0.250,0.200,30,F
243,A,0,0.250,0.200,30,F
244,A,0,0.250,0.200,30,F
245,A,0,0.250,0.200,30,F
246,A,0,0.250,0.200,30,F
247,A,0,0.250,0.200,30,F
248,A,0,0.250,0.200,30,F
249,A,0,0.250,0.200,30,F
250,A,0,0.250,0.200,30,F
251,A,0,0.250,0.200,30,F
252,A,0,0.250,0.200,30,F
253,A,0,0.250,0.200,30,F
254,A,0,0.250,0.200,30,F
255,A,0,0.250,0.200,30,F
256,A,0,0.250,0.200,30,F
257,A,0,0.250,0.200,30,F
258,A,0,0.250,0.200,30,F
259,A,0,0.250,0.200,30,F
260,A,0,0.250,0.200,30,F
261,A,0,0.250,0.200,30,F
262,A,0,0.250,0.200,30,F
263,A,0,0.250,0.200,30,F
264,A,0,0.250,0.200,30,F
265,A,0,0.250,0.200,30,F
266,A,0,0.250,0.200,30,F
267,A,0,0.250,0.200,30,F
268,A,0,0.250,0.200,30,F
269,A,0,0.250,0.200,30,F
270,A,0,0.250,0.200,30,F
271,A,0,0.250,0.200,30,F
272,A,0,0.250,0.200,30,F
273,A,0,0.250,0.200,30,F
274,A,0,0.250,0.200,30,F
275,A,0,0.250,0.200,30,F
276,A,0,0.250,0.200,30,F
277,A,0,0.250,0.200,30,F
278,A,0,0.250,0.200,30,F
279,A,0,0.250,0.200,30,F
280,A,0,0.250,0.200,30,F
281,A,0,0.250,0.200,30,F
282,A,0,0.250,0.200,30,F
283,A,0,0.250,0.200,30,F
284,A,0,0.250,0.200,30,F
285,A,0,0.250,0.200,30,F
286,A,0,0.250,0.200,30,F
287,A,0,0.250,0.200,30,F
288,A,0,0.250,0.200,30,F
289,A,0,0.250,0.200,30,F
290,A,0,0.250,0.200,30,F
291,A,0,0.250,0.200,30,F
292,A,0,0.250,0.200,30,F
293,A,0,0.250,0.200,30,F
294,A,0,0.250,0.200,30,F
295,A,0,0.250,0.200,30,F
296,A,0,0.250,0.200,30,F
297,A,0,0.250,0.200,30,F
298,A,0,0.250,0.200,30,F
299,A,0,0.250,0.200,30,F
300,A,0,0.900,0.850,30,F
301,A,0,0.900,0.850,30,F
302,A,0,0.900,0.850,30,F
303,A,0,0.900,0.850,30,F
304,A,0,0.900,0.850,30,F
305,A,0,0.900,0.850,30,F
306,A,0,0.900,0.850,30,F
307,A,0,0.900,0.850,30,F
308,A,0,0.900,0.850,30,F
309,A,0,0.900,0.850,30,F
310,A,0,0.900,0.850,30,F
311,A,0,0.900,0.850,30,F
312,A,0,0.900,0.850,30,F
313,A,0,0.900,0.850,30,F
314,A,0,0.900,0.850,30,F
315,A,0,0.900,0.850,30,F
316,A,0,0.900,0.850,30,F
317,A,0,0.900,0.850,30,F
318,A,0,0.900,0.850,30,F
319,A,0,0.900,0.850,30,F
